id,phase,criterion,status,evidence_class,release_blocking,evidence_paths,evidence_summary,owner,next_gate
"p0.classification","0","Every in-scope source file is classified","pass","pinned-static","false","qualification/provenance/source_inventory.csv|qualification/analysis/analysis_summary.json","366 pinned rows are classified; 340 have destinations and 26 are exclusions","provenance owner","Keep the inventory hash tied to the eventual release tag"
"p0.exclusion","0","MoE is the only intentionally excluded TTTv2 directory","pass","pinned-static","false","qualification/provenance/source_inventory.csv|qualification/provenance/README.md","All 26 excluded rows are under models/common/modules/moe and there are no other exclusions","provenance owner","Re-run the provenance audit at release freeze"
"p0.boundary-owners","0","All known external tt-metal imports have migration owners","pass","pinned-static","false","qualification/analysis/boundary_report.md|qualification/analysis/external_models_dependencies.csv","Phase 0 dependency rows have assigned migration treatment and ownership","package-boundary owner","Re-run static boundary and provenance checks at release freeze"
"p0.characterization","0","Public API dependencies tests models hardware and runtime assumptions are characterized","pass","pinned-static","false","qualification/analysis/public_api_policy.csv|qualification/analysis/support/support_baseline.md|qualification/analysis/runtime_assumptions.csv|qualification/analysis/ttnn_unstable_uses.csv","Public symbols support surfaces runtime assumptions and unstable TTNN use are inventoried at the pinned source SHA","qualification owner","Retain the reports with the release provenance record"
"p1.metadata","1","PEP 621 metadata and canonical src namespace are unambiguous","pass","host-static","false","pyproject.toml|README.md","Distribution is tt-transformers and import namespace is tt_transformers under src","packaging owner","Replace development version only after release approval"
"p1.python-wheel-matrix","1","Minimal or full wheel installs on Python 3.10 and 3.12","pass","isolated-host","false","qualification/reports/package-wheel.md|qualification/reports/package-artifact-hashes.json","Final non-editable wheel installs and 76-surface probes pass on CPython 3.10 and 3.12","packaging owner","Repeat from the committed release candidate artifact"
"p1.project-gates","1","Formatting lint type pytest wheel and manifest configuration exists","partial","host-static-and-ci-config","true","pyproject.toml|.pre-commit-config.yaml|.github/workflows/host.yml|qualification/reports/ci-and-constraints.md|qualification/reports/static-quality-baseline.json","Consolidated CI consumes strict host base and build-dev hash locks and validates policy artifacts Twine wheel install and full host selection; it is unobserved and the explicit Ruff 2148 format 163 mypy 489/99 and bounded-Black baseline is not green","CI and static-quality owners","Observe the consolidated workflow then reduce the reviewed Phase 9 quality baseline without masking extraction debt"
"p2.python-extraction","2","All twelve model packages runtime shared executors and non-MoE modules are extracted","pass","pinned-static","false","qualification/extraction/models.md|qualification/extraction/runtime.md|qualification/extraction/foundation.md","Twelve concrete packages and the reusable/runtime Python surfaces are present under src/tt_transformers","extraction owner","Re-run all three pinned extractors against the release candidate"
"p2.support-extraction","2","Tests examples qualification assets and hybrid demos are extracted and separated","pass","pinned-static","false","qualification/extraction/support.md|qualification/extraction/support_boundary_manifest.json","Support extraction records 14 split demos 21 readiness assets and zero active legacy executable imports","support owner","Re-run support manifests and boundary validation at release freeze"
"p2.qwen-config-asset","2","Pinned Qwen3 model-parameter asset required by host characterization is retained","pass","pinned-static","false","qualification/provenance/source_inventory.csv|qualification/model_params/Qwen3-32B/config.json|qualification/extraction/support_copy_manifest.csv","Qwen3 config blob 12ea4a36c6ac093af8d8dbc3bd435ae8b67067d6 is provenance-recorded at its qualification-only destination; production does not load it","support and provenance owners","Verify the blob and destination hash in the release provenance audit"
"p2.destination-completeness","2","Every assigned provenance destination exists or has an explicit superseding ledger entry","pass","pinned-static","false","qualification/provenance/source_inventory.csv|qualification/extraction/production_documentation_manifest.json|qualification/extraction/extract_production_documentation.py","All 366 rows now resolve: five pinned docs are extracted with verified rewrites, the cache-counter test dependency has a standalone owner, and the duplicate SamplingParams source names only its actual generator destination while the canonical value has its own row","provenance and documentation owners","Run the documentation extractor check and full provenance verifier at release freeze"
"p2.syntax","2","The extracted tree is syntactically valid","pass","host-static","false","TTTV2_MIGRATION_WORK_LOG.md|qualification/reports/host-ttnn-0.77.md","Extraction compilation passed and the exact full host collection has zero syntax or collection errors","test owner","Repeat compile and host collection from the committed release candidate"
"p2.behavior-ledger","2","Behavior-changing edits are separately identified and justified","pass","pinned-static","false","qualification/analysis/public_api_removals.csv|qualification/extraction/foundation_boundary.md|qualification/extraction/support_boundary.md","TTTv1 bridge removals hybrid relocation and narrow replacements have explicit ledgers","API owner","Review the ledgers as part of release approval"
"p3.import-boundary","3","Production imports resolve only through tt_transformers declared dependencies or stdlib","pass","host-static-and-wheel","false","tools/check_import_boundaries.py|qualification/reports/package-wheel.md","Source and installed-wheel boundary checks pass with no old models tests examples or pytest import","package-boundary owner","Run the checker on the release tag and installed wheel"
"p3.base-import","3","Base wheel imports without transformers pytest or tt-metal checkout","pass","isolated-host","false","qualification/reports/package-wheel.md|qualification/reports/package-wheel-manifest.json","Both Python wheel probes import 76 surfaces with optional packages absent and blocked","packaging owner","Repeat against the final versioned wheel"
"p3.tttv1-policy","3","TTTv1-only bridges are removed deliberately and active legacy imports are zero","pass","host-static","false","qualification/analysis/public_api_removals.csv|qualification/extraction/support_boundary_manifest.json|qualification/extraction/foundation_boundary.md","Approved bridge removals are recorded and active legacy executable import count is zero","API owner","Keep compatibility removals in changelog and public API review"
"p3.characterization","3","Original model and runtime contracts remain covered by characterization tests","partial","non-editable-wheel-host-only","true","qualification/reports/host-ttnn-0.77.md|qualification/analysis/support/hardware_evidence.csv","2115 host tests and 81 subtests pass from the non-editable wheel on both supported Pythons but no source-SHA hardware result establishes execution parity","test and hardware owners","Run the declared serialized module runtime and model hardware matrix at the exact release candidate SHA"
"p3.cache-default","3","CWD-relative caches and CI-implied offline behavior are removed","pass","host-static","false","qualification/extraction/cache_environment.md|tests/host/test_cache_environment.py","All twelve adaptors use explicit typed cache and offline policy with host coverage","cache owner","Revalidate cold and warm behavior on hardware"
"p3.device-ownership","3","Global TTNN default-device ownership is scoped and statically enforced","pass","host-static","false","qualification/extraction/device_ownership.md|tests/host/test_device_ownership.py","Direct global writes were removed and one exact-restore compatibility owner is audited","runtime owner","Exercise repeated construction and teardown on device"
"p4.symbol-availability","4","Current TTNN API paths exist in both published 0.77 wheels","pass","isolated-host-symbol","false","qualification/reports/ttnn-0.77.0-api-availability.md|qualification/reports/ttnn-0.77.0-api-availability.json","All 160 maximal TTNN paths resolve on CPython 3.10 and 3.12; semantics remain outside this evidence","TTNN compatibility owner","Carry ambiguous signatures into device qualification"
"p4.py310-host","4","Full host suite passes with TTNN 0.77 on Python 3.10","pass","non-editable-wheel-host","false","qualification/reports/host-ttnn-0.77.md","Exact result is 2115 passed 28 skipped 6791 deselected 5 warnings and 81 subtests with zero failures and no PYTHONPATH","test owner","Require the identical non-editable-wheel command in observed CI"
"p4.py312-host","4","Full host suite passes with TTNN 0.77 on Python 3.12","pass","non-editable-wheel-host-with-binding-feedback","false","qualification/reports/host-ttnn-0.77.md|qualification/reports/ttnn-0.77.0.md","Exact result matches Python 3.10 at 2115 passed 28 skipped 6791 deselected 5 warnings and 81 subtests; exit is zero but shutdown reports nanobind leaks","test and TTNN binding owners","Reduce the 8-instance 36-type 330-function shutdown diagnostic to a minimal TTNN reproducer and track it as binding feedback"
"p4.hardware","4","Reusable runtime and end-to-end paths pass on representative Wormhole and Blackhole systems","blocked","hardware-unrun","true","qualification/manifests/hardware-matrix.json|qualification/analysis/support/hardware_evidence.csv","The 42-node matrix is readiness-only and no hardware evidence is attributable to the pinned extraction or destination release","hardware qualification owner","Run all required nodes serially and attach SHA-bound non-skipped evidence with teardown status"
"p4.reviewed-verdict","4","A reviewed TTNN 0.77 verdict exists for every supported example and base surface","partial","host-verdict-complete-hardware-unrun","true","qualification/reports/ttnn-0.77.0.md|qualification/reports/ttnn-0.77.0-compatibility-matrix.json|qualification/reports/host-ttnn-0.77.md","The deterministic verdict covers host/package surfaces and all twelve experimental models but explicitly leaves device semantics and model correctness unqualified","release and TTNN owners","Extend the reviewed verdict with SHA-bound hardware results after Python 3.12 host and hardware gates complete"
"p4.pyproject-pin","4","Project metadata reflects the actual selected TTNN version","pass","repository-static","false","pyproject.toml|constraints/ttnn-0.77.0.txt","Base metadata pins ttnn==0.77.0","packaging owner","Retain exact pin in the approved release candidate"
"p5.taxonomy","5","Every test has explicit host or device taxonomy with proven topology marks","pass","host-static","false","qualification/reports/test-pyramid.md|qualification/tools/audit_test_taxonomy.py","Current audit covers 1430 functions: 1176 host and 254 device with zero errors","test infrastructure owner","Keep the deterministic audit required as tests change"
