priority,layer,source_path,line,scope,timing,module,imported_symbol,classification,proposed_owner,proposed_treatment
P0,llm_runtime,models/common/llm_runtime/decode.py,34,<module>,module,models.common.sampling.sampling_params,SamplingParams,external_models_tt_metal,tt_transformers.sampling,Choose one canonical SamplingParams value and mechanically redirect all callers while preserving fields/defaults.
P0,llm_runtime,models/common/llm_runtime/prefill/postprocess.py,19,<module>,module,models.common.sampling.sampling_params,SamplingParams,external_models_tt_metal,tt_transformers.sampling,Choose one canonical SamplingParams value and mechanically redirect all callers while preserving fields/defaults.
P0,llm_runtime,models/common/llm_runtime/prefill/result_collector.py,19,<module>,module,models.common.sampling.sampling_params,SamplingParams,external_models_tt_metal,tt_transformers.sampling,Choose one canonical SamplingParams value and mechanically redirect all callers while preserving fields/defaults.
P0,llm_runtime,models/common/llm_runtime/prefill/runtime.py,46,<module>,module,models.common.sampling.sampling_params,SamplingParams,external_models_tt_metal,tt_transformers.sampling,Choose one canonical SamplingParams value and mechanically redirect all callers while preserving fields/defaults.
P0,llm_runtime,models/common/llm_runtime/prefill/signatures.py,14,<module>,module,models.common.sampling.sampling_params,SamplingParams,external_models_tt_metal,tt_transformers.sampling,Choose one canonical SamplingParams value and mechanically redirect all callers while preserving fields/defaults.
P0,llm_runtime,models/common/llm_runtime/warmup.py,19,<module>,module,models.common.sampling.sampling_params,SamplingParams,external_models_tt_metal,tt_transformers.sampling,Choose one canonical SamplingParams value and mechanically redirect all callers while preserving fields/defaults.
P0,models,models/common/models/deepseek_r1_distill_qwen_14b/executor.py,26,<module>,module,models.common.sampling,SamplingParams,external_models_tt_metal,tt_transformers.sampling,Choose one canonical SamplingParams value and mechanically redirect all callers while preserving fields/defaults.
P0,models,models/common/models/deepseek_r1_distill_qwen_14b/generator.py,468,_create_submeshes,nested,models.tt_transformers.tt.generator,create_submeshes,external_models_tttv1,tt_transformers.mesh_utils,Internalize the narrow submesh-construction helper and characterize ownership/cleanup.
P0,models,models/common/models/deepseek_r1_distill_qwen_14b/model.py,28,<module>,module,models.common.lightweightmodule,LightweightModule,external_models_tt_metal,tt_transformers.modules package core,Internalize LightweightModule with its current construction/call contract; do not retain the old namespace.
P0,models,models/common/models/deepseek_r1_distill_qwen_14b/model.py,43,<module>,module,models.common.tensor_utils,TILE_SIZE,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,models,models/common/models/deepseek_r1_distill_qwen_14b/model.py,43,<module>,module,models.common.tensor_utils,get_padded_hidden_dim,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,models,models/common/models/llama32_1b/generator.py,459,_create_submeshes,nested,models.tt_transformers.tt.generator,create_submeshes,external_models_tttv1,tt_transformers.mesh_utils,Internalize the narrow submesh-construction helper and characterize ownership/cleanup.
P0,models,models/common/models/llama32_1b/model.py,33,<module>,module,models.common.lightweightmodule,LightweightModule,external_models_tt_metal,tt_transformers.modules package core,Internalize LightweightModule with its current construction/call contract; do not retain the old namespace.
P0,models,models/common/models/llama32_1b/model.py,48,<module>,module,models.common.tensor_utils,TILE_SIZE,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,models,models/common/models/llama32_1b/model.py,48,<module>,module,models.common.tensor_utils,get_padded_hidden_dim,external_models_tt_metal,tt_transformers.tensor_utils,Extract the imported tensor/shape helpers and their transitive minimum; split host-only helpers later.
P0,models,models/common/models/llama32_3b/generator.py,465,_create_submeshes,nested,models.tt_transformers.tt.generator,create_submeshes,external_models_tttv1,tt_transformers.mesh_utils,Internalize the narrow submesh-construction helper and characterize ownership/cleanup.
P0,models,models/common/models/llama32_3b/model.py,32,<module>,module,models.common.lightweightmodule,LightweightModule,external_models_tt_metal,tt_transformers.modules package core,Internalize LightweightModule with its current construction/call contract; do not retain the old namespace.
