category,assumption,layer,source_path,line,scope,expression,impact,proposed_treatment
cache_io,passes cache_file_name to a TTNN conversion/allocation API,llm_runtime,models/common/llm_runtime/paged_kv_cache.py,196,PagedKVCacheManager.allocate,"ttnn.as_tensor( host_tensor, device=self._mesh_device, mesh_mapper=ttnn.ReplicateTensorToMesh(self._mesh_device), layout=ttnn.TILE_LAYOUT, memory_config=self._config.memory_config, dtype=spec.dtype, cache_file_name=cache_file_name, )",TTNN may perform implicit local cache reads/writes.,Route through the versioned package cache policy and document cache invalidation inputs.
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/deepseek_r1_distill_qwen_14b/hf_adaptor.py,143,load_tokenizer,"AutoTokenizer.from_pretrained( hf_model, revision=hf_revision, local_files_only=os.getenv(""CI"") == ""true"", )","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
cwd_relative_path,relative path literal 'model_cache' resolves against current working directory,models,models/common/models/deepseek_r1_distill_qwen_14b/hf_adaptor.py,168,_cache_path,"Path(""model_cache"")",Cache/output placement and permissions change with invocation directory.,Adopt an explicit cache/output root and report it in preflight diagnostics.
filesystem,filesystem mkdir operation,models,models/common/models/deepseek_r1_distill_qwen_14b/hf_adaptor.py,169,_cache_path,"path.mkdir(parents=True, exist_ok=True)","Requires filesystem visibility and, for mkdir, write permission.","Document path ownership, errors, and cleanup; use the explicit cache policy."
global_device,mutates TTNN process-global default device,models,models/common/models/deepseek_r1_distill_qwen_14b/hf_adaptor.py,270,from_pretrained,ttnn.SetDefaultDevice(mesh_device),Construction can affect unrelated models/tests and is not restored by most provider paths.,"Pass mesh_device explicitly; if compatibility requires a default, scope and restore it deterministically."
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/deepseek_r1_distill_qwen_14b/hf_adaptor.py,271,from_pretrained,"AutoConfig.from_pretrained( hf_model, revision=hf_revision, local_files_only=os.getenv(""CI"") == ""true"", )","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/deepseek_r1_distill_qwen_14b/hf_adaptor.py,277,from_pretrained,"AutoModelForCausalLM.from_pretrained( hf_model, revision=hf_revision, torch_dtype=torch.bfloat16, local_files_only=os.getenv(""CI"") == ""true"", )","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
checkpoint_io,Hugging Face from_pretrained may read cache or access network,models,models/common/models/llama32_1b/hf_adaptor.py,141,load_tokenizer,"AutoTokenizer.from_pretrained(hf_model, local_files_only=os.getenv(""CI"") == ""true"")","Model construction depends on checkpoint authorization, revision/cache availability, and online/offline policy.",Pin revisions and make online/offline and cache roots explicit; keep Transformers optional and lazily imported.
cwd_relative_path,relative path literal 'model_cache' resolves against current working directory,models,models/common/models/llama32_1b/hf_adaptor.py,161,_cache_path,"Path(""model_cache"")",Cache/output placement and permissions change with invocation directory.,Adopt an explicit cache/output root and report it in preflight diagnostics.
filesystem,filesystem mkdir operation,models,models/common/models/llama32_1b/hf_adaptor.py,162,_cache_path,"path.mkdir(parents=True, exist_ok=True)","Requires filesystem visibility and, for mkdir, write permission.","Document path ownership, errors, and cleanup; use the explicit cache policy."
