definition_file,fixture,line,scope,autouse,params_expression,layer
conftest.py,reset_seeds,34,function,false,,ancestor_conftest
conftest.py,function_level_defaults,43,function,false,,ancestor_conftest
conftest.py,is_ci_env,48,function,false,,ancestor_conftest
conftest.py,is_single_card_n300,55,function,false,,ancestor_conftest
conftest.py,galaxy_type,64,function,false,,ancestor_conftest
conftest.py,is_ci_v2_env,104,session,false,,ancestor_conftest
conftest.py,model_location_generator,183,session,false,,ancestor_conftest
conftest.py,get_tt_cache_path,295,session,false,,ancestor_conftest
conftest.py,device_params,313,function,false,,ancestor_conftest
conftest.py,_device_module_impl,320,module,false,,ancestor_conftest
conftest.py,device,432,function,false,,ancestor_conftest
conftest.py,mesh_device,554,function,false,,ancestor_conftest
conftest.py,t3k_single_board_mesh_device,680,function,false,,ancestor_conftest
conftest.py,pcie_mesh_device,708,function,false,,ancestor_conftest
conftest.py,bh_1d_mesh_device,746,function,false,,ancestor_conftest
conftest.py,bh_2d_mesh_device,827,function,false,,ancestor_conftest
conftest.py,check_requires_grid_size,859,function,true,,ancestor_conftest
conftest.py,ensure_devices_tg,891,function,false,,ancestor_conftest
conftest.py,reset_default_device,899,function,true,,ancestor_conftest
conftest.py,tracy_profile,937,function,false,,ancestor_conftest
conftest.py,expect_error,948,function,false,,ancestor_conftest
conftest.py,grid_size,1038,function,false,,ancestor_conftest
conftest.py,determinism_check_interval,1056,function,false,,ancestor_conftest
conftest.py,didt_workload_iterations,1066,function,false,,ancestor_conftest
conftest.py,input_path,1076,function,false,,ancestor_conftest
conftest.py,ttnn_graph_report,1261,function,true,,ancestor_conftest
conftest.py,record_test_timestamp,1285,function,true,,ancestor_conftest
models/common/tests/conftest.py,ttnn_mesh_device,125,module,false,,ancestor_conftest
models/common/tests/conftest.py,require_blackhole_mesh_device,243,session,false,,ancestor_conftest
models/common/tests/conftest.py,skip_on_galaxy_system,357,module,false,,ancestor_conftest
models/common/tests/demos/deepseek_r1_distill_qwen_14b/demo.py,mesh_device,325,module,false,,demo
models/common/tests/demos/llama32_1b/demo.py,mesh_device,263,module,false,,demo
models/common/tests/demos/llama32_3b/demo.py,mesh_device,288,module,false,,demo
models/common/tests/demos/llama33_70b/demo.py,mesh_device,353,module,false,,demo
models/common/tests/demos/mistral_7b/demo.py,mesh_device,283,module,false,,demo
models/common/tests/demos/phi4/demo.py,mesh_device,263,module,false,,demo
models/common/tests/demos/qwen25_72b/demo.py,mesh_device,252,module,false,,demo
models/common/tests/demos/qwen25_7b/demo.py,mesh_device,287,module,false,,demo
models/common/tests/demos/qwen25_coder_32b/demo.py,mesh_device,246,module,false,,demo
models/common/tests/demos/qwen2_7b/demo.py,mesh_device,280,module,false,,demo
models/common/tests/demos/qwen3_32b/demo.py,mesh_device,352,module,false,,demo
models/common/tests/llm_runtime/test_executor_integration.py,binding,277,function,false,EXECUTOR_BINDINGS.items(),llm_runtime
models/common/tests/llm_runtime/test_model_contract.py,contract,272,function,false,MODEL_CONTRACTS.items(),llm_runtime
models/common/tests/llm_runtime/test_paged_kv_cache.py,fake_allocator,78,function,false,,llm_runtime
models/common/tests/models/llama33_70b/test_p150x4_smoke.py,production_model,91,module,false,,model
models/common/tests/models/llama33_70b/test_t3k_batched_prefill_correctness.py,local_hf_model,74,module,false,,model
models/common/tests/models/llama33_70b/test_t3k_batched_prefill_correctness.py,production_model,86,module,false,,model
models/common/tests/models/qwen3_32b/test_p150x4_smoke.py,production_model,90,module,false,,model
models/common/tests/modules/mlp/test_mlp_1d_arch_config.py,_isolate_architecture_resolution,18,function,true,,module
models/common/tests/modules/mlp/test_mlp_2d.py,ttnn_linear_2d_mesh_has_topology_bug,211,function,false,,module
models/common/tests/test_lazy_weight.py,mock_tensor,29,function,false,,shared_support
models/common/tests/test_lazy_weight.py,mock_tensor_2d,35,function,false,,shared_support
models/common/tests/test_lazy_weight.py,mock_mesh_device,41,function,false,,shared_support
models/common/tests/test_lazy_weight.py,mock_memory_config,50,function,false,,shared_support
models/common/tests/test_lazy_weight.py,mock_mesh_mapper_config,56,function,false,,shared_support
models/common/tests/test_validation_tools.py,_print_validation_report_after_module,607,module,true,,qualification
models/common/tests/test_validation_tools.py,_clear_validation_results_before_module,617,module,true,,qualification
models/conftest.py,ensure_gc,14,function,true,,ancestor_conftest
models/conftest.py,imagenet_label_dict,24,function,false,,ancestor_conftest
models/conftest.py,imagenet_sample_input,32,function,false,,ancestor_conftest
models/conftest.py,mnist_sample_input,41,function,false,,ancestor_conftest
models/conftest.py,iam_ocr_sample_input,48,function,false,,ancestor_conftest
models/conftest.py,hf_cat_image_sample_input,55,function,false,,ancestor_conftest
