path,blob_sha,role
models/common/llm_runtime/tttv2_demo_to_vllm_integration_skill.md,b643ace0dd9fec9b2911cdb1b775d7d5e0512ec1,integration_contract
models/common/models/deepseek_r1_distill_qwen_14b/README.md,2a7cb48dc5b11b92e1bf0401e1c58a53a385be71,model_support_documentation
models/common/models/llama32_1b/README.md,95ba7b7f0cdf6dadeb337c7c28a2b618933067c8,model_support_documentation
models/common/models/llama32_3b/README.md,70e0ca570bf85fae396a7cb2d2e778b634dba62c,model_support_documentation
models/common/models/llama33_70b/README.md,2c72085b8529f5dcc219d43590ca39808030b229,model_support_documentation
models/common/models/llama3_8b/README.md,39cdea628ae88776a846c75f6413dea2bf91523d,model_support_documentation
models/common/models/mistral_7b/README.md,5033f04b0a379b225fecaa2f308ef29a8c81b877,model_support_documentation
models/common/models/phi4/README.md,dfd61b3e7d996e7b918c4bc5e58d23c39585b3b1,model_support_documentation
models/common/models/qwen25_72b/README.md,f9197138b5306949803ce9d2461ba0d981ab0074,model_support_documentation
models/common/models/qwen25_7b/README.md,ffb43813529c601b60139c52f73e531890bc2958,model_support_documentation
models/common/models/qwen25_coder_32b/README.md,012ac37288d5f8cec572f377eae33ea1073b4e97,model_support_documentation
models/common/models/qwen25_coder_32b/demo.py,2bb8240c112a6bff4098449ae343518566032fcd,package_local_diagnostic_demo
models/common/models/qwen2_7b/README.md,b4f461486153f17c35544d5efadd82c458348882,model_support_documentation
models/common/models/qwen3_32b/README.md,6c009ce6ed61e0ccffbcc476095f8f0e71ce1cf9,model_support_documentation
models/common/models/qwen3_32b/demo.py,53a91f37b6dba40d9558216d7f253a38561bbef9,package_local_diagnostic_demo
models/common/readiness_check/__init__.py,9bc5900beb4e8f60ebcc67605a88967ee510473a,readiness_tool
models/common/readiness_check/autoregressive_prompt.txt,1d24a4076fb5551a43fdad8d4ce502ca4050801d,readiness_tool
models/common/readiness_check/check_degenerate_output.py,e48bf14f4f5faff1141c2f0a4fe9cde989e90b16,readiness_tool
