surface,package_or_suite,architecture,physical_sku_or_system,mesh_name,mesh_shape,tp,dp,classification,source_basis
module,shared_1d_rmsnorm_lm_head_mlp_attention,Wormhole,N150,N150,1x1,1,1,explicit_hardware_nodes,hardware manual section 9 and module pytest parameters
module,shared_1d_rmsnorm_lm_head_mlp_attention,Wormhole,N300,N300,1x2,2,1,generic_parameterized_coverage,module pytest parameters 1x2; no pinned-revision result
module,shared_1d_rmsnorm_lm_head_mlp_attention,Wormhole,T3K,T3K,1x8,8,1,generic_parameterized_coverage,module pytest parameters 1x8; no pinned-revision result
module,shared_1d_rmsnorm_lm_head_mlp_attention,Blackhole,P150,P150,1x1,1,1,explicit_required_nodes,hardware manual section 7
module,shared_1d_rmsnorm_lm_head_mlp_attention,Blackhole,"P150_X4 or physical P300_X2; preserve actual SKU provenance",P150x4,1x4,4,1,explicit_required_nodes,hardware manual section 7 and common mesh fixture physical-cluster guard
module,shared_2d_rmsnorm_mlp,Wormhole,Galaxy/TG,Galaxy,4x8_or_8x4,32,1,parameterized_coverage,2D module pytest parameters; no pinned-revision result
module,sampling_1d_and_penalties,generic_non_Galaxy,unspecified,"logical 1x1 1x2 1x8","1x1;1x2;1x8","1;2;8",1,parameterized_not_sku_qualification,pytest shapes plus skip_on_galaxy_system fixture
qualification,validation_tools,generic,one_device,logical_1x1,1x1,1,1,device_test,models/common/tests/test_validation_tools.py
model,deepseek_r1_distill_qwen_14b,Wormhole,N300,N300,1x2,2,1,demo_supported,model demo topology and capacity guards
model,deepseek_r1_distill_qwen_14b,Wormhole,T3K,T3K,1x8,8,1,demo_supported,model demo topology and capacity guards
model,deepseek_r1_distill_qwen_14b,Wormhole,T3K,T3K,1x8,4,2,demo_supported_dp,DP lane guard
model,deepseek_r1_distill_qwen_14b,Wormhole,T3K,T3K,1x8,2,4,demo_supported_dp,DP lane guard
model,llama32_1b,Wormhole,N150,N150,1x1,1,1,demo_supported,model demo
model,llama32_1b,Wormhole,N300,N300,1x2,2,1,demo_supported,model demo
model,llama32_1b,Wormhole,N300,N300,1x2,1,2,demo_supported_dp,DP lane guard
model,llama32_1b,Wormhole,T3K,T3K,1x8,8,1,demo_supported,model demo
model,llama32_1b,Wormhole,T3K,T3K,1x8,2,4,demo_supported_dp,DP lane guard
model,llama32_1b,Wormhole,T3K,T3K,1x8,1,8,demo_supported_dp,DP lane guard
model,llama32_3b,Wormhole,N150,N150,1x1,1,1,demo_supported,model demo
model,llama32_3b,Wormhole,N300,N300,1x2,2,1,demo_supported,model demo
model,llama32_3b,Wormhole,N300,N300,1x2,1,2,demo_supported_dp,DP lane guard
model,llama32_3b,Wormhole,T3K,T3K,1x8,8,1,demo_supported,model demo
model,llama32_3b,Wormhole,T3K,T3K,1x8,2,4,demo_supported_dp,DP lane guard
model,llama32_3b,Wormhole,T3K,T3K,1x8,1,8,demo_supported_dp,DP lane guard
model,llama33_70b,Wormhole,T3K,T3K,1x8,8,1,demo_supported,model demo; DP cases explicitly skip
model,llama33_70b,Blackhole,"P150_X4 required logical target; code accepts physical P300_X2 alias with distinct provenance",P150x4,1x4,4,1,pre_acceptance_contract_required,models/tttv2_llama33_70b_bh_required_capabilities.json
model,llama3_8b,Wormhole,N150,N150,1x1,1,1,demo_supported,model demo
model,llama3_8b,Wormhole,N300,N300,1x2,2,1,demo_supported,model demo
model,llama3_8b,Wormhole,N300,N300,1x2,1,2,demo_supported_dp,head-divisibility and DP guards
model,llama3_8b,Wormhole,T3K,T3K,1x8,8,1,demo_supported,model demo
model,llama3_8b,Wormhole,T3K,T3K,1x8,4,2,demo_code_admitted_dp,head-divisibility and DP guards
model,llama3_8b,Wormhole,T3K,T3K,1x8,2,4,demo_code_admitted_dp,head-divisibility and DP guards
model,llama3_8b,Wormhole,T3K,T3K,1x8,1,8,demo_code_admitted_dp,head-divisibility and DP guards
model,llama3_8b,Blackhole,P150,P150,1x1,1,1,pre_acceptance_contract_required,models/tttv2_llama3_8b_bh_required_capabilities.json
model,llama3_8b,Blackhole,P150_X4,P150x4,1x4,4,1,pre_acceptance_contract_required,models/tttv2_llama3_8b_bh_required_capabilities.json
model,llama3_8b,Blackhole,P150_X4,P150x4,1x4,1,4,pre_acceptance_contract_required,models/tttv2_llama3_8b_bh_required_capabilities.json
model,llama3_8b,Blackhole,physical_P300,P300,1x2,1,2,pre_acceptance_additive_functional,models/tttv2_llama3_8b_bh_required_capabilities.json
model,llama3_8b,Blackhole,two_P150_standin,P300,1x2,1,2,development_standin_not_acceptance,models/tttv2_llama3_8b_bh_required_capabilities.json
model,mistral_7b,Wormhole,N150,N150,1x1,1,1,demo_supported,model demo
model,mistral_7b,Wormhole,N300,N300,1x2,2,1,demo_supported,model demo
model,mistral_7b,Wormhole,N300,N300,1x2,1,2,demo_supported_dp,DP requires one-device lanes
model,mistral_7b,Wormhole,T3K,T3K,1x8,8,1,demo_supported,model demo
model,mistral_7b,Wormhole,T3K,T3K,1x8,1,8,demo_supported_dp,DP requires one-device lanes
model,phi4,Wormhole,N300,N300,1x2,2,1,demo_supported,model demo
model,phi4,Wormhole,T3K,T3K,1x8,2,4,demo_supported_dp,ordinary TP8 rejected; DP4 creates TP2 lanes
model,qwen25_72b,Wormhole,T3K,T3K,1x8,8,1,demo_supported,model demo; all DP cases capacity-skip
model,qwen25_7b,Wormhole,N300,N300,1x2,2,1,demo_supported,model demo
model,qwen25_7b,Wormhole,T3K,T3K,1x8,2,4,demo_supported_dp,ordinary TP8 rejected; DP4 creates TP2 lanes
model,qwen25_coder_32b,Wormhole,T3K,T3K,1x8,8,1,demo_supported,model demo; all DP cases capacity-skip
model,qwen2_7b,Wormhole,N300,N300,1x2,2,1,demo_supported,model demo
model,qwen2_7b,Wormhole,T3K,T3K,1x8,2,4,demo_supported_dp,ordinary TP8 rejected; DP4 creates TP2 lanes
model,qwen3_32b,Wormhole,T3K,T3K,1x8,8,1,demo_supported,model demo; all DP cases capacity-skip
model,qwen3_32b,Blackhole,"P150_X4 required logical target; code accepts physical P300_X2 alias with distinct provenance",P150x4,1x4,4,1,pre_acceptance_contract_required,models/tttv2_qwen3_32b_bh_required_capabilities.json
